Sección,Pregunta,Respuesta,Fuente
Postres,"Refiere a una bebida color blanca que se sirve en un vaso transparente, tiene sabor a vainilla dulce y deliciosa con una base de leche cremosa y dulce:",Malteada sabor vainilla,Gui?a de estudio para entrenador 2024.pdf
Postres,¿Cuáles son las características de calidad de los pays?,"Corteza dorada, crujiente y con burbujas",Gui?a de estudio para entrenador 2024.pdf
Postres,¿Cuál es el peso de la mezcla de helado de un cono sencillo?,3 oz,Gui?a de estudio para entrenador 2024.pdf
Postres,¿Cuál es el peso de la mezcla de helado de un cono doble?,4 oz,Gui?a de estudio para entrenador 2024.pdf
Postres,¿Cuál debe ser la altura de un cono sencillo?,3 pulg,Gui?a de estudio para entrenador 2024.pdf
Postres,¿Cuántas vueltas de mezcla de helado tiene un cono sencillo?,3 vueltas y 1 pico.,Gui?a de estudio para entrenador 2024.pdf
Postres,¿Cuál es el peso de la mezcla de helado de un McFlurry?,5 oz,Gui?a de estudio para entrenador 2024.pdf
Postres,¿Cuál es el peso de la mezcla de helado de una malteada de 12 oz?,6 oz,Gui?a de estudio para entrenador 2024.pdf
Postres,¿Cuál es el peso de la mezcla de helado de una malteada de 16 oz?,9 oz,Gui?a de estudio para entrenador 2024.pdf
Postres,¿Cuál es la cantidad de topping que contiene un sundae?,1 oz,Gui?a de estudio para entrenador 2024.pdf
Postres,¿Cuál es la velocidad de salida de la mezcla de helado para calibración de la máquina de batidos?,5 a 7.5 oz por cada 10 seg,Gui?a de estudio para entrenador 2024.pdf
Postres,¿Cuál es el rendimiento de la mezcla de helados?,8 a 8.5 sundae por litro,Gui?a de estudio para entrenador 2024.pdf
Postres,¿Cuál es la temperatura de salida de la mezcla de helados?,16?F a 18?F,Gui?a de estudio para entrenador 2024.pdf
Postres,¿Cuál es la temperatura de la mezcla de helado en la tolva de la máquina?,34?F a 40?F,Gui?a de estudio para entrenador 2024.pdf
Postres,¿Cuál es la temperatura de extracción de los toppings para sundae?,115?F a 125?F,Gui?a de estudio para entrenador 2024.pdf
Postres,¿Cuál es la temperatura del baño maría de los toppings para sundae?,135?F a 145?F,Gui?a de estudio para entrenador 2024.pdf
Postres,¿Cuál es el tiempo de recuperación de la máquina de helados?,15 min,Gui?a de estudio para entrenador 2024.pdf
Postres,¿Cuál es rendimiento del topping para sundae?,117 a 122 sundaes,Gui?a de estudio para entrenador 2024.pdf
Postres,¿Cuál es el tiempo cocción de los pays?,6 min,Gui?a de estudio para entrenador 2024.pdf
Postres,¿Cuál es la temperatura de la freidora para cocinar los pays?,360?F,Gui?a de estudio para entrenador 2024.pdf
Postres,El tamaño de la tanda completa para cocinar pays es:,16 Pays,Gui?a de estudio para entrenador 2024.pdf
Postres,¿Cuál es tiempo de enfriamiento de los pays después de ser cocinados?,20 min,Gui?a de estudio para entrenador 2024.pdf
Postres,¿Cuál es el tiempo de calentamiento de la vitrina de pays?,60 min,Gui?a de estudio para entrenador 2024.pdf
Postres,¿Cuántas vueltas de mezcla de helado se completa un sundae?,4 vueltas,Gui?a de estudio para entrenador 2024.pdf
Postres,¿Cuántas vueltas de mezcla de helado se completa un McFlurry?,5 vueltas,Gui?a de estudio para entrenador 2024.pdf
Postres,¿Cuántas vueltas de mezcla de helado se completa una malteada de 16 oz?,7 vueltas 1/2,Gui?a de estudio para entrenador 2024.pdf
Postres,¿Cuántas vueltas de mezcla de helado se completa una malteada de 12 oz?,5 vueltas 1/2,Gui?a de estudio para entrenador 2024.pdf
Desayunos,¿Cuál es la temperatura interna mínima en la que se deben de mantener los productos en el UHC?,140?F,Gui?a de estudio para entrenador 2024.pdf
Desayunos,¿Cuál es el tiempo de espera máximo de la papa hash brown?,10 min,Gui?a de estudio para entrenador 2024.pdf
Desayunos,¿Cuál es tiempo de cocción de la papa hash brown?,2 min 45 seg,Gui?a de estudio para entrenador 2024.pdf
Desayunos,¿Cuál es la tanda máxima para producir papa hash brown?,8 por cesta,Gui?a de estudio para entrenador 2024.pdf
Desayunos,¿Cuál es tiempo de calentamiento de la parrilla para el período de desayunos?,20 min,Gui?a de estudio para entrenador 2024.pdf
Desayunos,¿Cuál es la temperatura de la parrilla para cocinar huevo?,275?F,Gui?a de estudio para entrenador 2024.pdf
Desayunos,¿Cuál es la tanda completa para cocinar huevos revueltos?,4 porciones,Gui?a de estudio para entrenador 2024.pdf
Desayunos,¿Cuál es tipo de bandeja para almacenar productos de huevo en el UHC?,Bandeja de 1/3 con linner,Gui?a de estudio para entrenador 2024.pdf
Desayunos,¿Cuál es la temperatura del UHC en el período de desayuno?,175?F,Gui?a de estudio para entrenador 2024.pdf
Desayunos,¿Cuál es tiempo de cocción del huevo revuelto/mexicano/con jamón?,"40 seg, incluye los 10 seg de reposo",Gui?a de estudio para entrenador 2024.pdf
Desayunos,¿Cuál es el tiempo de cocción del huevo doblado?,80 seg,Gui?a de estudio para entrenador 2024.pdf
Desayunos,¿Cuál es el tiempo de calentamiento de la tortilla de harina?,15 seg de cada lado,Gui?a de estudio para entrenador 2024.pdf
Desayunos,¿Cuál es el tiempo de cocción de la mezcla de burrito?,120 seg,Gui?a de estudio para entrenador 2024.pdf
Desayunos,¿Cuál es el tiempo de cocción de Hot Cakes?,140 seg (90 seg el primer lado y 50 seg el segundo lado),Gui?a de estudio para entrenador 2024.pdf
Desayunos,¿Cuál es el tiempo de cocción de la salchicha?,82 seg,Gui?a de estudio para entrenador 2024.pdf
Desayunos,¿Cuál es el tiempo de cocción del tocino?,120 seg a 140 seg,Gui?a de estudio para entrenador 2024.pdf
Desayunos,¿Cuál es el tiempo de cocción de molletes en el tostador de muffin?,15 seg,Gui?a de estudio para entrenador 2024.pdf
Desayunos,¿Cuál es el tiempo de cocción del pan muffin de 1 a 3 pzas?,50 a 55 seg,Gui?a de estudio para entrenador 2024.pdf
Desayunos,¿Cuál es el tiempo de cocción del pan muffin de 4 a 6 pzas?,55 a 70 seg,Gui?a de estudio para entrenador 2024.pdf
Desayunos,¿Cuál es la temperatura de la parrilla para la cocción de Hot Cakes?,375?F,Gui?a de estudio para entrenador 2024.pdf
Desayunos,¿Cuál es la tanda completa para producción de mezcla de burrito mexicano?,6 McBurritos,Gui?a de estudio para entrenador 2024.pdf
Desayunos,¿Cuál es la tanda completa para producción de salchicha?,8 salchichas,Gui?a de estudio para entrenador 2024.pdf
Desayunos,¿Cuál es la tanda completa para producción de tocino?,1 linner (20 tiras),Gui?a de estudio para entrenador 2024.pdf
Desayunos,¿Cuál es la tanda completa para producción de molletes?,6 pzas,Gui?a de estudio para entrenador 2024.pdf
Desayunos,¿Cuál es la tanda completa para producción de pan muffin?,6 pzas,Gui?a de estudio para entrenador 2024.pdf
Desayunos,¿Cuál es el tiempo de almacenamiento en UHC del McBurrito mexicano?,30 min,Gui?a de estudio para entrenador 2024.pdf
Desayunos,"¿Cuál es el tiempo de almacenamiento en UHC del huevo revuelto, pochado y doblado?",20 min,Gui?a de estudio para entrenador 2024.pdf
Desayunos,¿Cuál es el tiempo de almacenamiento en UHC de los Hot Cakes?,20 min,Gui?a de estudio para entrenador 2024.pdf
Desayunos,¿Cuál es el tiempo de almacenamiento en UHC de los molletes y pan muffin?,20 min,Gui?a de estudio para entrenador 2024.pdf
Desayunos,¿Cuál es el tiempo de vida secundario del tocino?,30 dias en refrigeración/6 hrs ya cocinado,Gui?a de estudio para entrenador 2024.pdf
Desayunos,¿Cuál es el tiempo de almacenamiento en UHC de los frijoles?,"Todo el periodo de desayunos, hidratando cada hora",Gui?a de estudio para entrenador 2024.pdf
Desayunos,¿Cuál es tiempo de vida del huevo en cascaron sanitizado a temperatura ambiente?,30 min,Gui?a de estudio para entrenador 2024.pdf
Desayunos,¿Cuál es el tiempo de vida del huevo batido en refrigeración?,2 hrs,Gui?a de estudio para entrenador 2024.pdf
Desayunos,¿Cuál es el tiempo de vida del huevo batido en temperatura ambiente?,30 min,Gui?a de estudio para entrenador 2024.pdf
Desayunos,¿Cuál es la cantidad de huevo para preparar 1 burrito a la mexicana?,2.6 oz de huevo,Gui?a de estudio para entrenador 2024.pdf
Desayunos,¿Cuál es la cantidad de huevo para preparar 2 burritos a la mexicana?,5.3 oz de huevo,Gui?a de estudio para entrenador 2024.pdf
Desayunos,¿Cuál es el tiempo de vida del lomo en el UHC?,30 min,Gui?a de estudio para entrenador 2024.pdf
Desayunos,¿Cuál es el tiempo de vida del lomo una vez abierto el paquete?,3 dias,Gui?a de estudio para entrenador 2024.pdf
Desayunos,¿Cuál es el tiempo de vida secundario de la mantequilla en la parrilla?,Todo el dia,Gui?a de estudio para entrenador 2024.pdf
Desayunos,¿En dónde se almacena la mezcla de Hot Cakes en el período de desayuno?,En el refrigerador ubicado debajo de la mesa de aderezo,Gui?a de estudio para entrenador 2024.pdf
Desayunos,¿Cuál es el tiempo de vida de la mezcla de Hot Cakes en el dispensador?,2 hrs,Gui?a de estudio para entrenador 2024.pdf
Desayunos,¿Cuál es el tiempo de vida secundario del pan muffin?,48 hrs,Gui?a de estudio para entrenador 2024.pdf
Desayunos,¿Cuál es el tiempo de descongelación del pan muffin?,18 hrs,Gui?a de estudio para entrenador 2024.pdf
Desayunos,¿Cuál es el tiempo de vida de la mezcla pico de gallo en la mesa de preparación y/o cambro?,2 hrs,Gui?a de estudio para entrenador 2024.pdf
Desayunos,¿Cuál es el tiempo de vida en la mesa de preparación del queso cheddar bianco?,2 hrs,Gui?a de estudio para entrenador 2024.pdf
Desayunos,¿Cuál es el tiempo de vida de la salchicha en el congelador de pared?,2 hrs,Gui?a de estudio para entrenador 2024.pdf
Desayunos,¿Cuál es el tiempo de vida secundario de la tortillina?,3 días,Gui?a de estudio para entrenador 2024.pdf
Desayunos,¿Cuál es la temperatura del agua para preparar la solución con sanitizante para los trapos limpios?,85?F a 105?F,Gui?a de estudio para entrenador 2024.pdf
Desayunos,¿Cuál es la temperatura ideal para lavar los trapos de parrilla?,120?F a 150?F,Gui?a de estudio para entrenador 2024.pdf
Desayunos,¿Cuál es la relación de vegetales para preparar la mezcla de pico de gallo?,2 bolsas de jitomate + 1 bolsa de cebolla + 1 bolsa de chile,Gui?a de estudio para entrenador 2024.pdf
Desayunos,"¿Cuál es el tiempo de reposo, de los frijoles, en la bandeja de 1/3 fondo alto antes de servir?",15 min,Gui?a de estudio para entrenador 2024.pdf
Desayunos,¿Cuál es tiempo de vida de los frijoles para molletes en la mesa de preparación?,60 min,Gui?a de estudio para entrenador 2024.pdf
Desayunos,"¿Cuál es la cantidad de agua fría que se requiere para realizar la mezcla de Hot Cakes, para un paquete de 38.5 oz de harina?",48 oz,Gui?a de estudio para entrenador 2024.pdf
Desayunos,¿Qué cantidad de frijoles se utilizan para preparar los molletes?,1 oz,Gui?a de estudio para entrenador 2024.pdf
Desayunos,¿Qué cantidad de frijoles se utilizan para preparar un muffin mexicano?,2/3 oz,Gui?a de estudio para entrenador 2024.pdf
Desayunos,¿Cuántos minutos se debe batir la mezcla de Hot Cakes para preparar la mezcla?,2 min,Gui?a de estudio para entrenador 2024.pdf
Desayunos,"¿Cuál es el tiempo que debe reposar la mezcla de Hot Cakes, en refrigeración, antes de su cocción?",10 min,Gui?a de estudio para entrenador 2024.pdf
Desayunos,¿Cuál es el tiempo de vida primario de la papa hash brown?,180 días,Gui?a de estudio para entrenador 2024.pdf
Desayunos,¿Cuál es la cantidad de mezcla de huevo que se utiliza para la preparación de 1 porción de huevo revuelto?,4 oz,Gui?a de estudio para entrenador 2024.pdf
Desayunos,Un pizca de sal es un ingrediente necesario para preparar:,Huevo revuelto,Gui?a de estudio para entrenador 2024.pdf
Desayunos,¿Cuál es la cantidad de mantequilla que se coloca en la parrilla para la preparación de huevos?,4 disparos de mantequilla,Gui?a de estudio para entrenador 2024.pdf
Desayunos,¿Cuál es la cantidad de ingredientes para la preparación de 1 porción de huevos revueltos a la mexicana?,4 oz de huevo y 2 oz de pico de gallo.,Gui?a de estudio para entrenador 2024.pdf
Desayunos,¿Cuál es tiempo de sanitización del huevo?,1 min,Gui?a de estudio para entrenador 2024.pdf
Desayunos,"Es la frecuencia con la que se debe lavar y sanitizar la maquinaria para huevos, los utensilios y las bandejas de UHC durante el periodo de desayunos:",2 hrs,Gui?a de estudio para entrenador 2024.pdf
Desayunos,¿Cuál es el utensilio que se utiliza para romper las yemas del huevo redondo en la parrilla?,Espátula plana amarilla,Gui?a de estudio para entrenador 2024.pdf
Desayunos,Es el corte que debe realizarse a las salchichas para la preparación de mezcla de McBurrito:,8 cortes verticales x 8 cortes horizontales,Gui?a de estudio para entrenador 2024.pdf
Desayunos,¿Cuál es la porción de salchicha que se requiere para preparar una tanda completa de mezcla de McBurrito?,3 salchichas,Gui?a de estudio para entrenador 2024.pdf
Desayunos,¿Cuál es la porción de salchicha que se requiere para preparar media tanda de mezcla de McBurrito?,11/2 salchichas,Gui?a de estudio para entrenador 2024.pdf
Desayunos,¿Cuál es la porción de salchicha que se requiere para preparar 2 McBurritos?,1 salchicha,Gui?a de estudio para entrenador 2024.pdf
Desayunos,¿Cuál es la porción de salchicha que se requiere para preparar 1 McBurrito?,1/2 salchicha,Gui?a de estudio para entrenador 2024.pdf
Desayunos,¿Cantidad de pimienta para preparar una tanda completa de mezcla de McBurrito?,1/4 oz de pimienta,Gui?a de estudio para entrenador 2024.pdf
Desayunos,¿Con qué frecuencia se debe afilar el raspador de parrilla?,5 veces al día,Gui?a de estudio para entrenador 2024.pdf
Desayunos,¿Cuál es la calibración para el dispensador de Hot Cakes?,3 descargas = 5 oz,Gui?a de estudio para entrenador 2024.pdf
Desayunos,¿Cuál es la medida del diámetro de los Hot Cakes?,12.5 cm,Gui?a de estudio para entrenador 2024.pdf
Delivery,En el segmento de McDelivery ¿Cuándo se debe ingresar el pedido en la registradora?,Cuando suene el aviso ping que ubique al repartidor a 5 min del restaurante,Gui?a de estudio para entrenador 2024.pdf
Delivery,¿Cuál es la cantidad de condimentos que deben colocarse en las ordenes de McDelivery?,Se colocan los condimentos solicitados por el cliente o los que corresponda según politica,Gui?a de estudio para entrenador 2024.pdf
Delivery,¿En qué momento se preparan los postres y malteadas en las ordenes de McDelivery?,En cuanto llega el repartidor,Gui?a de estudio para entrenador 2024.pdf
Delivery,¿Cómo se referencian las ordenes que incluyen postres y/o malteadas en McDelivery?,Se identifican con un sticker de color,Gui?a de estudio para entrenador 2024.pdf
Delivery,¿Cuál es el proceso completo McDelivery?,"5 minutos tiempo en ruta, 5 minutos tiempo en restaurante y 10 minutos fulfillment",Gui?a de estudio para entrenador 2024.pdf
Delivery,¿En que área se ensamblan las ordenes de McDelivery?,En la mesa OAT/HLZ,Gui?a de estudio para entrenador 2024.pdf
Delivery,¿Cuáles son los aspectos fundamentales que se deben considerar para armar y preparar los pedidos de McDelivery?,"Rapidez, exactitud y cuidado del armado de la orden",Gui?a de estudio para entrenador 2024.pdf
Delivery,¿Cuál es el aspecto que más valoran los clientes en el segmento de McDelivery?,La exactitud de la orden,Gui?a de estudio para entrenador 2024.pdf
Delivery,Se refiere a la regla de oro #2 en McDelivery:,El verificador debe hacer doble check y firmar de validación,Gui?a de estudio para entrenador 2024.pdf
Delivery,Se refiere a la regla de oro # 4 en McDelivery:,No olvides agregar el premio de la cajita feliz,Gui?a de estudio para entrenador 2024.pdf
Delivery,Se refiere a la regla de oro # 5 en McDelivery:,Usa una bolsa McDelivery cuando la orden lleve 3 items y/o postres y bebidas,Gui?a de estudio para entrenador 2024.pdf
Delivery,Se refiere a la regla de oro # 1 en McDelivery.,"Asegurate de marcar la orden correcta (inaccuracy ""0"" y rest time 5 min)",Gui?a de estudio para entrenador 2024.pdf
Delivery,Se refiere a la regla de oro # 6 en McDelivery:,Revisa en el dashboard los comentarios de nuestros clientes,Gui?a de estudio para entrenador 2024.pdf
Delivery,¿Quién es responsable de la Inaccuracy/Inexactitud 0%?,Puesto de ensamblador,Gui?a de estudio para entrenador 2024.pdf
Delivery,¿Cual es el objetivo de Up Time?,98%,Gui?a de estudio para entrenador 2024.pdf
Delivery,¿Cuál es el objetivo de CSAT?,4.6 estrellas,Gui?a de estudio para entrenador 2024.pdf
Delivery,¿Cuál es el objetivo de Restaurant Time?,5 minutos,Gui?a de estudio para entrenador 2024.pdf
Delivery,Es el último paso que se debe realizar en cuanto se entrega la orden al repartidor:,Pedir al repartidor que inicie el viaje,Gui?a de estudio para entrenador 2024.pdf
Delivery,¿Cuándo se utiliza la bolsa con asas para ensamblar las ordenes de McDelivery?,En pedidos con más de 3 items,Gui?a de estudio para entrenador 2024.pdf
Menu Regular,¿Cuál es el grado de inclinación de la espátula para retirar las carnes de la parrilla?,45,Gui?a de estudio para entrenador 2024.pdf
Menu Regular,¿Cuál es la temperatura de las parrillas para cocinar carnes?,425?F plato superior y 350?F plato inferior,Gui?a de estudio para entrenador 2024.pdf
Menu Regular,El tiempo de calentamiento de las parrillas en menú regular es:,20 min,Gui?a de estudio para entrenador 2024.pdf
Menu Regular,¿Cuál es el tiempo de vida de la cebolla rehidratada en el refrigerador?,24 hrs,Gui?a de estudio para entrenador 2024.pdf
Menu Regular,¿Cuál es el tiempo de cocción inicial de la carne 10:1?,39 seg,Gui?a de estudio para entrenador 2024.pdf
Menu Regular,La temperatura del UHC para menú regular es:,175?F,Gui?a de estudio para entrenador 2024.pdf
Menu Regular,¿Cuál es el tiempo de cocción de las papas?,3 min 10 seg,Gui?a de estudio para entrenador 2024.pdf
Menu Regular,El tiempo de vida de las papas ya cocinadas es:,7 min,Gui?a de estudio para entrenador 2024.pdf
Menu Regular,¿Cuál es el tiempo de reacción del iniciador?,3 a 5 seg,Gui?a de estudio para entrenador 2024.pdf
Menu Regular,¿Cuál es la temperatura del tostador vertical?,560?F placa y 400?F aire auxiliar,Gui?a de estudio para entrenador 2024.pdf
Menu Regular,¿Cuál es el tiempo de vida de la carne en el congelador lateral?,2 hrs,Gui?a de estudio para entrenador 2024.pdf
